map_id,map_name,total_score,ct_score,t_score,agent_1,agent_2,agent_3,agent_4,agent_5
3,Lotus,14,9,3,KILLJOY,VIPER,OMEN,RAZE,FADE
4,Lotus,12,9,3,CYPHER,RAZE,OMEN,NEON,FADE
5,cebox,6,2,4,VIPER,OMEN,KILLJOY,FADE,RAZE
6,cebox,13,3,10,RAZE,CYPHER,OMEN,FADE,NEON
7,Bind,14,10,2,JETT,GEKKO,VIPER,KAYO,KILLJOY
8,Bind,12,10,2,REYNA,KILLJOY,JETT,VIPER,SOVA
9,Sunset,1,1,0,RAZE,BREACH,CYPHER,OMEN,NEON
10,Sunset,13,2,11,CYPHER,SOVA,OMEN,NEON,KAYO
11,Haven,9,5,4,RAZE,OMEN,BREACH,NEON,CYPHER
12,Haven,13,8,5,OMEN,CYPHER,NEON,SOVA,KAYO
13,Haven,8,4,4,CYPHER,GEKKO,SOVA,ASTRA,JETT
14,Haven,13,5,8,BREACH,CYPHER,JETT,OMEN,SOVA
15,Ascent,13,6,7,CYPHER,GEKKO,ASTRA,SOVA,JETT
16,Ascent,9,5,4,CYPHER,BREACH,JETT,OMEN,SOVA
17,Bind,8,5,3,KAYO,RAZE,CLOVE,SOVA,ISO
18,Bind,13,6,7,KILLJOY,SOVA,JETT,KAYO,OMEN
19,Lotus,3,1,2,BRIMSTONE,CYPHER,GEKKO,JETT,SKYE
20,Lotus,13,2,11,ISO,VIPER,SKYE,RAZE,ASTRA
21,Ascent,13,6,7,DEADLOCK,SOVA,OMEN,JETT,CYPHER
22,Ascent,11,5,6,OMEN,KAYO,KILLJOY,JETT,SOVA
23,Lotus,13,10,3,DEADLOCK,JETT,SOVA,OMEN,CYPHER
24,Lotus,11,9,2,OMEN,KAYO,JETT,SOVA,KILLJOY
25,Haven,13,8,5,CYPHER,NEON,SOVA,ISO,OMEN
26,Haven,9,7,2,CYPHER,JETT,BREACH,OMEN,SOVA
27,Bind,13,9,4,CYPHER,SOVA,NEON,ISO,OMEN
28,Bind,9,6,3,JETT,CYPHER,SOVA,OMEN,BREACH
29,Lotus,13,6,6,NEON,OMEN,CYPHER,RAZE,FADE
30,Lotus,15,6,6,VIPER,OMEN,FADE,RAZE,CHAMBER
31,Bind,13,4,9,CYPHER,OMEN,NEON,FADE,RAZE
32,Bind,5,3,2,VIPER,OMEN,RAZE,CHAMBER,FADE
33,Ascent,13,9,4,VIPER,GEKKO,OMEN,RAZE,YORU
34,Ascent,5,2,3,VIPER,GEKKO,BRIMSTONE,FADE,RAZE
35,Haven,15,6,6,VIPER,OMEN,KILLJOY,SKYE,JETT
36,Haven,17,6,6,OMEN,ISO,YORU,SOVA,CYPHER
37,Lotus,13,2,11,KILLJOY,VIPER,SKYE,OMEN,JETT
38,Lotus,3,1,2,OMEN,ISO,SOVA,YORU,CYPHER
39,Ascent,13,8,5,FADE,BREACH,CLOVE,NEON,OMEN
40,Ascent,11,7,4,KILLJOY,VIPER,OMEN,RAZE,FADE
41,Ascent,13,8,5,SOVA,KAYO,KILLJOY,JETT,OMEN
42,Ascent,8,7,1,SOVA,OMEN,ISO,CYPHER,JETT
43,Lotus,13,7,6,SOVA,KAYO,KILLJOY,OMEN,JETT
44,Lotus,9,4,5,SOVA,ISO,OMEN,JETT,CYPHER
45,cebox,11,6,5,ISO,HARBOR,CLOVE,SOVA,KILLJOY
46,cebox,13,7,6,JETT,HARBOR,VIPER,KILLJOY,SOVA
47,Lotus,13,6,7,CLOVE,ISO,HARBOR,KILLJOY,SOVA
48,Lotus,6,5,1,HARBOR,VIPER,JETT,KILLJOY,SOVA
49,Bind,13,9,4,RAZE,OMEN,KILLJOY,FADE,VIPER
50,Bind,4,1,3,BREACH,CLOVE,NEON,OMEN,FADE
51,Ascent,9,5,4,BRIMSTONE,FADE,GEKKO,VIPER,NEON
52,Ascent,13,6,7,DEADLOCK,GEKKO,BRIMSTONE,RAZE,SKYE
53,Haven,13,10,3,OMEN,KAYO,JETT,KILLJOY,SOVA
54,Haven,3,1,2,OMEN,SOVA,JETT,KILLJOY,KAYO
